ing_id,std_name,lv1,lv2,freq,matched_kca,matched_agrofood,matched_any_reference,agro_category_ref,kca_category_ref,상품명,가격,단위,단위_수치,단위_문자,score,url
M07712,피클랠리쉬,기타,기타,4,FALSE,FALSE,FALSE,,,오이피클랠리쉬(다짐) 3kg 늘푸른 1개,6800,3kg,3,kg,2.4,https://www.foodspring.co.kr/goods/detail/840932
M07892,마가렛트,,,4,FALSE,FALSE,FALSE,,,마가렛트 구운모카 176G 롯데제과,2656,176G,176,G,3.5,https://www.foodspring.co.kr/goods/detail/550719
M07952,편의점치킨,기타,기타,4,FALSE,FALSE,FALSE,,,사세 매콤점보 닭다리 1.3kg 냉동 닭고기 닭다릿살 치킨튀김 편의점치킨,13520,1.3kg,1.3,kg,0.5,https://www.foodspring.co.kr/goods/detail/679611
M07992,사워종,기타,기타,4,FALSE,FALSE,FALSE,,,[선주문]선인 액상사워종 플러스 2kg,7680,2kg,2,kg,1.45,https://www.foodspring.co.kr/goods/detail/967491
M08012,먹물치아바타,기타,물·음료,4,FALSE,FALSE,FALSE,,,구스에프앤비 먹물치아바타(80g*5입 400g/EA),4193,80g,80,g,1.05,https://www.foodspring.co.kr/goods/detail/592565
M08092,햄버거번,,,4,FALSE,FALSE,FALSE,,,존쿡 냉동 햄버거번 60g x 12입 720g,9600,60g,60,g,1.25,https://www.foodspring.co.kr/goods/detail/676895
M08112,청겨자잎,양념·기름,식초·발효,4,FALSE,FALSE,FALSE,,,청겨자잎(상품/국산)500g,7840,500g,500,g,3.5,https://www.foodspring.co.kr/goods/detail/781304
M08172,돼지갈비찜,,,4,FALSE,TRUE,TRUE,,,돼지갈비찜(매운) 600g,7040,600g,600,g,3.5,https://www.foodspring.co.kr/goods/detail/505413
M08182,비빔국수,,,4,FALSE,FALSE,FALSE,,,푸딩프렙 01 동치미물비빔국수 450g,3184,450g,450,g,1.45,https://www.foodspring.co.kr/goods/detail/834744
M08252,오가목,기타,기타,4,FALSE,FALSE,FALSE,,,특A급 오가피 600g 국산 오가피효능 가시오가피 오가목 오갈피 나무 오가목 백숙 수육 삶는법,4392,600g,600,g,-0.1,https://www.foodspring.co.kr/goods/detail/669120
M08282,오뚜기짜장가루,곡류·면,밀가루·전분,4,FALSE,FALSE,FALSE,,,오뚜기짜장가루 1kg,11040,1kg,1,kg,3.5,https://www.foodspring.co.kr/goods/detail/520731
M08302,산나물,채소류,잎채소,4,FALSE,FALSE,FALSE,,,신선애 명이나물 (산나물) 1kg,7920,1kg,1,kg,1.5,https://www.foodspring.co.kr/goods/detail/510992
M08352,옥수수녹말,기타,기타,3,FALSE,TRUE,TRUE,,,녹말요지(그린 1곽 135g)X2 이쑤시개 요지 친환경이쑤시개 생분해이쑤시개 옥수수녹말이쑤시개 업소용이쑤시개 식당용품 카페용품 일회용이쑤시개,5728,135g,135,g,-1.4,https://www.foodspring.co.kr/goods/detail/18017
M08472,라드,기타,기타,3,FALSE,FALSE,FALSE,,,라드유 14KG 씨와이프로,73656,14KG,14,KG,3.5,https://www.foodspring.co.kr/goods/detail/551589
M08522,허니시럽,기타,기타,3,FALSE,FALSE,FALSE,,,모닌 레몬진저허니시럽 700ml,10320,700ml,700,ml,1.5,https://www.foodspring.co.kr/goods/detail/529572
M08632,풋강낭콩,,,3,FALSE,FALSE,FALSE,,,그린빈스 500g 풋강낭콩,11920,500g,500,g,1.5,https://www.foodspring.co.kr/goods/detail/951818
M08742,호이신소스,기타,기타,3,FALSE,FALSE,FALSE,,,"호이신소스,435ml,엠앤에프,실온",7440,435ml,435,ml,3.5,https://www.foodspring.co.kr/goods/detail/694782
