ing_id,std_name,lv1,lv2,freq,matched_kca,matched_agrofood,matched_any_reference,agro_category_ref,kca_category_ref,std_name_2nd,source_file,std_name_normalized
M65497,남은잡채국,기타,기타,1,False,False,False,,,남은잡채국,완3,남은잡채국
M65527,뚝심,기타,기타,1,False,False,False,,,뚝심,완3,뚝심
M65537,경기미가와지쌀,곡류·면,쌀,1,False,False,False,,,경기미가와지쌀,완3,경기미가와지쌀
M65547,크랜베리브레드생지,기타,기타,1,False,False,False,,,크랜베리브레드생지,완3,크랜베리브레드생지
M65557,고형다시,기타,기타,1,False,False,False,,,고형다시,완3,고형다시
M65567,분홍소세시,기타,기타,1,False,False,False,,,분홍소세시,완3,분홍소세시
M65597,쌀면삶은,곡류·면,면류,1,False,False,False,,,쌀면삶은,완3,쌀면삶은
M65637,다시육수팩,양념·기름,액젓·국물조미료,1,False,False,False,,,다시육수팩,완3,다시육수팩
M65647,떡갈비너겟,곡류·면,떡,1,False,False,False,,,떡갈비너겟,완3,떡갈비너겟
M65667,쌀눈곤약미,곡류·면,쌀,1,False,False,False,,,쌀눈곤약미,완3,쌀눈곤약미
M65697,스윗말차,기타,기타,1,False,False,False,,,스윗말차,완3,스윗말차
M65717,제철과일원하는양만큼,기타,기타,1,False,False,False,,,제철과일원하는양만큼,완3,제철과일원하는양만큼
M65737,청정원쿠킹스위트,양념·기름,식초·발효,1,False,False,False,,,쿠킹스위트,완3,청정원쿠킹스위트
M65747,순생나또,기타,기타,1,False,False,False,,,순생나또,완3,순생나또
M65807,고소마요네즈,양념·기름,기타양념,1,False,False,False,,,고소마요네즈,완3,고소마요네즈
M65817,단호박호박,채소류,열매채소,1,False,True,True,,,단호박호박,완3,단호박호박
M65827,생소면,곡류·면,면류,1,False,False,False,,,생소면,완3,생소면
M65867,햄버거빵,곡류·면,빵·곡식가공,1,False,False,False,,,햄버거빵,완3,햄버거빵
M65877,선택가능쪽파,채소류,양념채소,1,False,False,False,,,선택가능쪽파,완3,선택가능쪽파
M65887,더건강한브런치슬라이스허니,기타,기타,1,False,False,False,,,더건강한브런치슬라이스허니,완3,더건강한브런치슬라이스허니
