ing_id,std_name,lv1,lv2,freq,matched_kca,matched_agrofood,matched_any_reference,agro_category_ref,kca_category_ref,std_name_2nd,source_file,std_name_normalized,상품명,가격,단위,단위_수치,단위_문자,score,url
M07294,초코칩,기타,기타,4,False,False,False,,,초코칩,완1,,선인 다크초코칩 1kg,6320,1kg,1.0,kg,2.5,https://www.foodspring.co.kr/goods/detail/534859
M07345,절임올리브,기타,기타,4,False,False,False,,,절임올리브,완7,절임올리브,비오오가니카 유기농 씨 없는 올리브 절임 올리브 홀 그린 올리브 280g,7960,280g,280.0,g,0.5,https://www.foodspring.co.kr/goods/detail/905291
M07456,단무지밥,양념·기름,기름,4,False,False,False,,,단무지밥,완2,,알밥단무지 1kgX1개 알밥 꼬들단무지,2400,1kg,1.0,kg,1.45,https://www.foodspring.co.kr/goods/detail/461124
M07484,요리당,양념·기름,당류,4,False,False,False,,,요리당,완1,,요리당(CJ)1.2kg,2808,1.2kg,1.2,kg,5.5,https://www.foodspring.co.kr/goods/detail/964939
M07581,가리비살,기타,기타,4,False,True,True,,,가리비살,완4,,가리비살(자숙 1Kg/EA),3675,1Kg,1.0,Kg,3.5,https://www.foodspring.co.kr/goods/detail/951044
M07828,홍가리비살,기타,기타,4,False,True,True,,,홍가리비살,완8,,JH 해물모둠(오징어+홍합살+홍새우살+바지락살+가리비살 1.8Kg/EA),12203,1.8Kg,1.8,Kg,0.5,https://www.foodspring.co.kr/goods/detail/887325
M07853,냉면국수,곡류·면,면류,4,False,False,False,,,냉면국수,완6,,움트리 냉면막국수n겨자랑 120g,2072,120g,120.0,g,3.5,https://www.foodspring.co.kr/goods/detail/640826
M07934,팽이버섯,채소류,버섯,4,False,True,True,,,팽이버섯,완1,,"팽이버섯,150g,상품,국산",200,150g,150.0,g,6.5,https://www.foodspring.co.kr/goods/detail/627330
M08084,국물,기타,물·음료,4,False,False,False,,,국물,완1,,무뼈국물닭발(750g)(국내산),5672,750g,750.0,g,2.5,https://www.foodspring.co.kr/goods/detail/36146
M08167,파인애플잼,채소류,양념채소,4,False,True,True,,,파인애플잼,완3,파인애플잼,안드로스 파인애플리플잼,13496,1kg,1.0,kg,1.5,https://www.foodspring.co.kr/goods/detail/886825
M08234,소스,,,4,False,False,False,,,소스,완1,,청양고추마요소스 1kg,6320,1kg,1.0,kg,2.5,https://www.foodspring.co.kr/goods/detail/834896
M08612,백설,양념·기름,기름,3,False,False,False,,,백설,완5,백설,CJ 백설 골드후라잉 식용유 18L 콩기름,39040,18L,18.0,L,7.35,https://www.foodspring.co.kr/goods/detail/861333
M08851,프로바이오틱,기타,기타,3,False,False,False,,,프로바이오틱,완4,,베베스트 우리 아기 생유산균 프로바이오틱스 비타민D&아연 5개,38920,5개,5.0,개,-0.2,https://www.foodspring.co.kr/goods/detail/971622
M08892,캐모마일티백,기타,기타,3,False,False,False,,,캐모마일티백,완5,캐모마일티백,티코리아_아크바 캐모마일 20티백,4720,1.2g,1.2,g,1.5,https://www.foodspring.co.kr/goods/detail/927185
M09027,단호박속,채소류,열매채소,3,False,True,True,,,단호박속,완3,단호박속,단호박(상품 2등분_속제거 KG),3510,1KG,1.0,KG,1.5,https://www.foodspring.co.kr/goods/detail/612206
M09058,LA소갈비,기타,기타,3,False,False,False,,,LA소갈비,완8,,냉동 LA갈비 2kg 꽃갈비 소갈비 수입산 소고기,39920,2kg,2.0,kg,1.15,https://www.foodspring.co.kr/goods/detail/514145
